[2025-11-08 23:43:00,336: INFO: main: this is to check logger]
[2025-11-09 08:03:54,600: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\config\config.yaml loaded successfully]
[2025-11-09 08:03:54,614: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\params.yaml loaded successfully]
[2025-11-09 08:03:54,621: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\schema.yaml loaded successfully]
[2025-11-09 08:03:54,621: INFO: common: created directory at: artifacts]
[2025-11-09 08:03:54,621: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-09 08:06:33,386: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\config\config.yaml loaded successfully]
[2025-11-09 08:06:33,405: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\params.yaml loaded successfully]
[2025-11-09 08:06:33,411: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\schema.yaml loaded successfully]
[2025-11-09 08:06:33,411: INFO: common: created directory at: artifacts]
[2025-11-09 08:06:33,414: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-09 08:10:48,552: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\config\config.yaml loaded successfully]
[2025-11-09 08:10:48,557: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\params.yaml loaded successfully]
[2025-11-09 08:10:48,561: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\schema.yaml loaded successfully]
[2025-11-09 08:10:48,563: INFO: common: created directory at: artifacts]
[2025-11-09 08:10:48,564: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-09 08:36:32,369: INFO: main: >>>>>> stage <<<<<<<Data Ingestion stage>>>>>>>>> started <<<<<<]
[2025-11-09 08:36:32,389: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\config\config.yaml loaded successfully]
[2025-11-09 08:36:32,408: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\params.yaml loaded successfully]
[2025-11-09 08:36:32,424: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\schema.yaml loaded successfully]
[2025-11-09 08:36:32,424: INFO: common: created directory at: artifacts]
[2025-11-09 08:36:32,424: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-09 08:36:32,424: INFO: main: >>>>>> stage <<<<<<<Data Ingestion stage>>>>>>>>> completed <<<<<<

x==========x]
